Name,Men,Women,Value,Year,Rank,Ylist
Greece,102,0,102,1896,1,1896
Germany,19,0,19,1896,2,1900
United States,14,0,14,1896,3,1904
France,12,0,12,1896,4,1908
Great Britain,10,0,10,1896,5,1912
Hungary,7,0,7,1896,6,1920
Austria,3,0,3,1896,7,1924
Denmark,3,0,3,1896,8,1928
Switzerland,2,0,2,1896,9,1932
Australia,1,0,1,1896,10,1936
Bulgaria,1,0,1,1896,11,1948
Italy,1,0,1,1896,12,1952
Sweden,1,0,1,1896,13,1956
France,734,14,748,1900,1,1960
Great Britain,96,1,97,1900,2,1964
Germany,76,0,76,1900,3,1968
United States,66,4,70,1900,4,1972
Belgium,65,0,65,1900,5,1976
Netherlands,34,0,34,1900,6,1980
Italy,22,1,23,1900,7,1984
Hungary,19,0,19,1900,8,1988
Switzerland,16,2,18,1900,9,1992
Austria,15,0,15,1900,10,1996
Denmark,13,0,13,1900,11,2000
Sweden,10,0,10,1900,12,2004
Spain,9,0,9,1900,13,2008
Bohemia,6,1,7,1900,14,2012
Norway,7,0,7,1900,15,2016
Russia,4,0,4,1900,16,2020
Mexico,3,0,3,1900,17,
Greece,2,0,2,1900,18,
Romania,1,0,1,1900,19,
Argentina,1,0,1,1900,20,
Peru,1,0,1,1900,21,
Iran,1,0,1,1900,22,
Australia,1,0,1,1900,23,
Haiti,1,0,1,1900,24,
Cuba,1,0,1,1900,25,
British India,1,0,1,1900,26,
United States,537,6,543,1904,1,
Canada,54,0,54,1904,2,
Germany,18,0,18,1904,3,
Greece,14,0,14,1904,4,
Cape Colony,8,0,8,1904,5,
Great Britain,4,0,4,1904,6,
Hungary,4,0,4,1904,7,
Cuba,3,0,3,1904,8,
Australia,1,0,1,1904,9,
Italy,1,0,1,1904,10,
Great Britain,696,39,735,1908,1,
France,209,0,209,1908,2,
Sweden,165,3,168,1908,3,
United States,122,0,122,1908,4,
Netherlands,112,0,112,1908,5,
Canada,87,0,87,1908,6,
Germany,80,2,82,1908,7,
Denmark,78,0,78,1908,8,
Belgium,70,0,70,1908,9,
Norway,69,0,69,1908,10,
Italy,66,0,66,1908,11,
Hungary,64,0,64,1908,12,
Finland,62,0,62,1908,13,
Australasia,30,0,30,1908,14,
Greece,20,0,20,1908,15,
Bohemia,19,0,19,1908,16,
Cape Colony,14,0,14,1908,17,
Austria,7,0,7,1908,18,
Russia,6,0,6,1908,19,
Iceland,1,0,1,1908,20,
Switzerland,1,0,1,1908,21,
Turkey,1,0,1,1908,22,
Argentina,1,0,1,1908,23,
Sweden,421,23,444,1912,1,
Great Britain,263,11,274,1912,2,
Norway,188,2,190,1912,3,
Germany,180,5,185,1912,4,
United States,174,0,174,1912,5,
Finland,162,2,164,1912,6,
Russia,159,0,159,1912,7,
Denmark,151,1,152,1912,8,
Hungary,121,0,121,1912,9,
France,119,1,120,1912,10,
Austria,79,6,85,1912,11,
Italy,66,0,66,1912,12,
Bohemia,43,0,43,1912,13,
Canada,37,0,37,1912,14,
Belgium,34,1,35,1912,15,
Netherlands,33,0,33,1912,16,
Australasia,23,2,25,1912,17,
Greece,22,0,22,1912,18,
Luxembourg,21,0,21,1912,19,
South Africa,21,0,21,1912,20,
Chile,14,0,14,1912,21,
Switzerland,7,0,7,1912,22,
Portugal,6,0,6,1912,23,
Japan,2,0,2,1912,24,
Iceland,2,0,2,1912,25,
Serbia,2,0,2,1912,26,
Ottoman Empire,2,0,2,1912,27,
Unknown,2,0,2,1912,28,
Poland,1,0,1,1912,29,
Belgium,326,10,336,1920,1,
France,294,8,302,1920,2,
United States,274,14,288,1920,3,
Sweden,247,13,260,1920,4,
Great Britain,218,16,234,1920,5,
Norway,188,6,194,1920,6,
Italy,173,1,174,1920,7,
Denmark,150,4,154,1920,8,
Netherlands,129,1,130,1920,9,
Czechoslovakia,118,1,119,1920,10,
Switzerland,79,0,79,1920,11,
Finland,62,1,63,1920,12,
Spain,58,0,58,1920,13,
Canada,53,0,53,1920,14,
Greece,47,0,47,1920,15,
South Africa,38,1,39,1920,16,
Luxembourg,25,0,25,1920,17,
Brazil,19,0,19,1920,18,
Egypt,18,0,18,1920,19,
Japan,15,0,15,1920,20,
