Country,Summer,Winter Games,Total
USA,"1904, 1932, 1984, 1996, 1932, 1960, 1980, 2002","1932, 1960, 1980, 2002",8
France,"1900, 1924, 1924, 1968, 1992","1924, 1968, 1992",5
Germany,"1936, 1972, 1936",1936,3
Greece,"1896, 1906, 2004",,4
Japan,"1964, 2020, 1972, 1998","1972, 1998",4
Italy,"1956, 1960,  2006","1956, 2006",3
UK,"1908, 1948, 2012",,3
Canada,"1976,1988, 2010","1988, 2010",3
Australia,"1956, 2000",,2
Russia/USSR,"1980, 2014",2014,2
South Korea,"19,882,018",2018,2
Switzerland,"1928, 1948","1928, 1948",2
Norway,"1952, 1994","1952, 1994",2
Austria,"1964, 1976","1964, 1976",2
China,2008,,1
Brazil,2016,,1
Sweden,1912,,1
Belgium,1920,,1
Holland,1928,,1
Finland,1952,,1
Mexico,1968,,1
Spain,1992,,1
Yugoslavia,1984,1984,1
