Name,NOC,Gold,Silver,Bronze,Total,Color,Highlight
United States,USA,1187,957,841,2985,#003171,#F2F1EF
Soviet Union,URS,473,376,355,1204,#F9690E,#F2F1EF
Germany,GER,365,399,390,1154,#D9B611,#F2F1EF
PR China,CHN,346,249,220,815,#CF000F,#F2F1EF
Great Britain,GBR,304,334,342,980,#757D75,#F2F1EF
France,FRA,298,318,382,998,#4B77BE,#F2F1EF
Russia,RUS,292,242,247,781,#A87CA0,#F2F1EF
Italy,ITA,288,266,284,838,#006442,#F2F1EF
Sweden,SWE,223,233,257,713,#FFB61E,#F2F1EF
Japan,JPN,208,203,220,631,#264348,#F2F1EF
Hungary,HUN,204,177,200,581,#03A678,#F2F1EF
